date,country,suspected_cases,confirmed_cases,deaths,recoveries,case_fatality_rate_pct,source_url
12/23/15,Italy,0,1,0,0,0,https://data.humdata.org/dataset/ebola-cases-2014
12/23/15,Liberia,5636,10666,0,0,0,https://data.humdata.org/dataset/ebola-cases-2014
12/23/15,Mali,0,8,0,0,0,https://data.humdata.org/dataset/ebola-cases-2014
12/23/15,Nigeria,0,20,1,0,5,https://data.humdata.org/dataset/ebola-cases-2014
12/23/15,Senegal,0,1,0,0,0,https://data.humdata.org/dataset/ebola-cases-2014
12/23/15,Sierra Leone,5131,14122,208,0,1.47,https://data.humdata.org/dataset/ebola-cases-2014
12/23/15,Spain,0,1,0,0,0,https://data.humdata.org/dataset/ebola-cases-2014
12/23/15,United Kingdom,0,1,0,0,0,https://data.humdata.org/dataset/ebola-cases-2014
12/23/15,United States Of America,0,4,0,0,0,https://data.humdata.org/dataset/ebola-cases-2014
12/22/15,Guinea,0,3804,453,0,11.91,https://data.humdata.org/dataset/ebola-cases-2014
12/22/15,Italy,0,1,0,0,0,https://data.humdata.org/dataset/ebola-cases-2014
12/22/15,Liberia,5636,10666,0,0,0,https://data.humdata.org/dataset/ebola-cases-2014
12/22/15,Mali,0,8,0,0,0,https://data.humdata.org/dataset/ebola-cases-2014
12/22/15,Nigeria,0,20,1,0,5,https://data.humdata.org/dataset/ebola-cases-2014
12/22/15,Senegal,0,1,0,0,0,https://data.humdata.org/dataset/ebola-cases-2014
12/22/15,Sierra Leone,5131,14122,208,0,1.47,https://data.humdata.org/dataset/ebola-cases-2014
12/22/15,Spain,0,1,0,0,0,https://data.humdata.org/dataset/ebola-cases-2014
12/22/15,United Kingdom,0,1,0,0,0,https://data.humdata.org/dataset/ebola-cases-2014
12/22/15,United States Of America,0,4,0,0,0,https://data.humdata.org/dataset/ebola-cases-2014
12/17/15,Guinea,1,3805,453,0,11.91,https://data.humdata.org/dataset/ebola-cases-2014
12/17/15,Italy,0,1,0,0,0,https://data.humdata.org/dataset/ebola-cases-2014
12/17/15,Liberia,5636,10666,0,0,0,https://data.humdata.org/dataset/ebola-cases-2014
12/17/15,Mali,0,8,0,0,0,https://data.humdata.org/dataset/ebola-cases-2014
12/17/15,Nigeria,0,20,1,0,5,https://data.humdata.org/dataset/ebola-cases-2014
12/17/15,Senegal,0,1,0,0,0,https://data.humdata.org/dataset/ebola-cases-2014
12/17/15,Sierra Leone,5131,14122,208,0,1.47,https://data.humdata.org/dataset/ebola-cases-2014
12/17/15,Spain,0,1,0,0,0,https://data.humdata.org/dataset/ebola-cases-2014
12/17/15,United Kingdom,0,1,0,0,0,https://data.humdata.org/dataset/ebola-cases-2014
12/17/15,United States Of America,0,4,0,0,0,https://data.humdata.org/dataset/ebola-cases-2014
12/16/15,Guinea,3,3807,453,0,11.9,https://data.humdata.org/dataset/ebola-cases-2014
12/16/15,Italy,0,1,0,0,0,https://data.humdata.org/dataset/ebola-cases-2014
12/16/15,Liberia,5636,10666,0,0,0,https://data.humdata.org/dataset/ebola-cases-2014
12/16/15,Mali,0,8,0,0,0,https://data.humdata.org/dataset/ebola-cases-2014
12/16/15,Nigeria,0,20,1,0,5,https://data.humdata.org/dataset/ebola-cases-2014
12/16/15,Senegal,0,1,0,0,0,https://data.humdata.org/dataset/ebola-cases-2014
12/16/15,Sierra Leone,5131,14122,208,0,1.47,https://data.humdata.org/dataset/ebola-cases-2014
12/16/15,Spain,0,1,0,0,0,https://data.humdata.org/dataset/ebola-cases-2014
12/16/15,United Kingdom,0,1,0,0,0,https://data.humdata.org/dataset/ebola-cases-2014
12/16/15,United States Of America,0,4,0,0,0,https://data.humdata.org/dataset/ebola-cases-2014
